Book Name,Status,Price
Follow every rainbow,Sold,100
I have a dream,Sold,100
Take me home,Sold,100
The best advice I ever got,Available,100
Anger Management,Available,100
The science of self-realization,Available,100
A thousand splendid suns,Sold,100
"lady, you are not a man",Available,100
Lean in,Available,100
The logic of life,Available,100
Undercover economist,Sold,100
One minute teacher,Sold,100
Whale done,Sold,100
Secrets of the world's inspirational women,Sold,100
Women and the weight loss tamashaa,Available,100
The most common mistakes in english usage,Available,100
The high performance entrepreneur,Available,100
Siddhartha - by Herman Hesse,Available,100
How to get rich and retire early,Available,100
The complete start to finish MBA admissions guide,Available,100
The MBA application roadmap,Available,100
The effective presentation,Available,100
Guide to economic indicators,Available,100
The economist - pocket finance,Available,100
Sig sigma - advanced tools pocket guide,Available,100
Leadership and the one minute manager,Sold,100
Buildiing social business,Available,100
Unlimited Power,Sold,100
Linchpin,Sold,100
The one minute manager,Sold,100
The psycology influence of persuasion,Sold,100
Stories from here and there,Available,100
Collins - English thesaurus,Sold,100
Layman's guide to mutual funds,Sold,50
Cambridge english pronunciation dictionary,Available,100
managing your careeer,Sold,100
Pocket mentor - shaping your career,Available,100
The rules of wealth,Available,100
Bank 2.0,Available,100
Be a lamp upon yourself,Available,free
To understand buddhism,Available,free
The noble eight fold path,Available,25 rupees
Elevation to krishna consciousness,Available,25 rupees